platonic,midpoint,earthly,ratio
-420,-194.1,-98.5,0.0150
-350,-188.3,-97.0,0.0302
-280,-177.1,-93.9,0.0608
-210,-156.4,-87.8,0.1225
-140,-120.9,-75.3,0.2466
-100,-92.4,-63.2,0.3679
-90,-84.4,-59.3,0.4066
-80,-76.0,-55.1,0.4493
-70,-67.3,-50.3,0.4966
-60,-58.3,-45.1,0.5488
-50,-49.0,-39.3,0.6065
-40,-39.5,-33.0,0.6703
-30,-29.8,-25.9,0.7408
-25,-24.9,-22.1,0.7788
-20,-19.9,-18.1,0.8187
-15,-15.0,-13.9,0.8607
-10,-10.0,-9.5,0.9048
-5,-5.0,-4.9,0.9512
0,0.0,0.0,1.00
5,5.0,5.1,1.05
10,10.0,10.5,1.11
15,15.0,16.2,1.16
20,19.9,22.1,1.22
25,24.9,28.4,1.28
30,29.8,35.0,1.35
40,39.5,49.2,1.49
50,49.0,64.9,1.65
60,58.3,82.2,1.82
70,67.3,101.4,2.01
80,76.0,122.6,2.23
90,84.4,146.0,2.46
100,92.4,171.8,2.72
140,120.9,305.5,4.06
210,156.4,716.6,8.17
280,177.1,1544.5,16.44
350,188.3,3211.5,33.12
420,194.1,6568.6,66.69
